Latitude,Longitude,UTC Time,Elevation,Speed,Heading
40.00706903,-105.268012232,2016-04-18T16:29:05.450Z,1364.967,0.122,80.0467
40.007052823,-105.268010187,2016-04-18T16:29:09.450Z,1359.334,0.0,0.0
40.007017237,-105.268005058,2016-04-18T16:29:14.450Z,1353.154,0.168,225.8879
40.00700103,-105.268003012,2016-04-18T16:29:19.450Z,1347.521,0.296,320.9293
40.006977713,-105.268009179,2016-04-18T16:29:24.450Z,1342.829,0.096,180.0
40.006941916,-105.268012262,2016-04-18T16:29:29.450Z,1338.233,0.216,314.7381
40.006927021,-105.268007133,2016-04-18T16:29:34.450Z,1333.982,0.213,24.2712
40.006910602,-105.2680133,2016-04-18T16:29:39.450Z,1329.932,0.122,80.0467
40.006890122,-105.268005088,2016-04-18T16:29:44.450Z,1326.42,0.0,0.0
40.006894606,-105.268003042,2016-04-18T16:29:49.450Z,1322.716,0.515,19.8913
40.00689198,-105.268009209,2016-04-18T16:29:54.450Z,1319.952,0.375,33.7792
40.006878398,-105.268000996,2016-04-18T16:29:59.440Z,1317.083,0.3,44.0088
